command,streamer,tags
!germanwolfy,Instawolf_,
!get,JuykunTV,pp
!getinthere,,
!getitup,AionJanis,
!gianthole,Wootaru,
!giantpole,AionJanis,
!giggity,BiceptimusPrime,
!giveittoyoulongerblue,BlueSquadron,
!givemedec5xstryker,Stryker500,
!givemedecstryker,Stryker500,
!gmorning,AionJanis,greeting
!gobble,AionJanis,balls
!godilove,AionJanis,
!godzilla2janis,AionJanis,
!godzillajanis,AionJanis,
!goodboy,AionJanis,
!goodgirl,AionJanis,
!gotmehot,,
!grassorassmushy,,
!grippers,AionJanis,
!groaning,AionJanis,
!gtfoutofmenickky,,
!guys,,
!hadamomentstryker,,
!haha,AionJanis,laugh
!hahaa,AionJanis,laugh
!hahaendlaive,,
!hahainsta,Instawolf_,laugh
!hahazeth,,
!happyfeetnickky,ItsNickky,
!hardwood,AionJanis,
!heheendlaive,,
!hehehejanis,AionJanis,
!hehekitty,KittyKayTTV,
!heheomgstryker,,
!hellojimmy,,
!herewegokitty,KittyKayTTV,
!hesuperblue,,
!hey,AionJanis,greeting
!heybicep,biceptimusprime,greeting
!heydaddy,,greeting
!heyendlaive,,
!heywootaru,Wootaru,
!hitlikatrucknickky,ItsNickky,
!hitmedaddyjanis,AionJanis,
!hiwootaru,Wootaru,
!hohooinsta,Instawolf_,
!holdon,AionJanis,
!holyhole,,
!holyshit,AionJanis,exclamation
!horsezeth,,
!housedirty,,
!how,Instawolf_,question
!howldyshit,,exclamation
!howlongstryker,,
!huehue,,laugh
!hugedudejimmy,,
!iamcake,AionJanis,deep voice
!idonthaveendlaive,,
!idontstink,,
!ifdoctorok,AionJanis,
!ifdontplaymyclasswootaru,Wootaru,
!ifistshai,,BDO
!ihatethatmushy,MushyIce,
!ilikecocks,AionJanis,pp
!ilikethat,AionJanis,reaction
!ilikethis,AionJanis,reaction
!illfightyoumushy,MushyIce,
!ilovecoming,AionJanis,cum
!ilovekitty,AionJanis,animal
!iloveseamenjanis,AionJanis,
!ilovesteve,,
!imadeitkitty,KittyKayTTV,
!imeanyaknow,,
!iminnocentjanis,,
!imjustagirlmushy,,
!imsupple,MushyIce,
!imtellingmywifeatitha,,
!imtheproblem,,
!imurman,AionJanis,
!ineedarod,AionJanis,
!ineedmore,AionJanis,
!iremember,AionJanis,BDO
!iseeitnowmushy,MushyIce,
!isoldmymeat,AionJanis,
!ispeakfacts,ItsNickky,
!isthisajokejimmy,,
!itsatinyendlaive,,
!itsliterallyendlaive,,
!itspalmella,AionJanis,
!itssocuteendlaive,,
!itstoes,AionJanis,feet
!iuhblue,,
!iwantdec,,
!iwantreadyjanis,AionJanis,
!jerk,AionJanis,
!jerkpigs,AionJanis,animal
!juicy,AionJanis,
!justagirljanis,AionJanis,
!justdoitvsayan,,
!kawaijanis,AionJanis,
!kblue,,
!keepgoingjanis,AionJanis,
!keepinfamilyjanis,AionJanis,
!keeptouchingmushy,MushyIce,
!kekw,,laugh
!keytohappiness,AionJanis,pp
!kickass,AionJanis,butt
!kickintheballs,AionJanis,balls
!kindahotjanis,AionJanis,
!kindofchillyjanis,AionJanis,
!kinkdeepinsidejanis,AionJanis,
!ladiesinfirstjanis,AionJanis,
!leap,,
!leaveholeswootaru,Wootaru,
!leavemebe,ItsNickky,
!letsgojimmy,,
!lick,AionJanis,butt
!licmytoejanis,AionJanis,
!likealot,AionJanis,
!listenwootaru,Wootaru,
!littleholejanis,AionJanis,
!lizard,,animal
!lizrdfaster,,animal
!lllllll,,
!lmao,Jnny,laugh
!lol,Jnny,laugh
!lolzeth,,
!lookatitjimmy,,
!lookatthatkitty,KittyKayTTV,
!lookattoes,AionJanis,feet
!lookdontknowbicep,biceptimusprime,
!lovefightjanis,AionJanis,
!lovesucking,AionJanis,
!lube,AionJanis,
!makeithpapenpussyblue,,
!massage,AionJanis,
!maybemanwootaru,Wootaru,
!mayfeetguide,,
!meow,AionJanis,animal
!meowmeow,AionJanis,animal
!minedoesnt,AionJanis,
!mmm,AionJanis,
!mmmengeli,,
!mmmgood,AionJanis,reaction
!mofoengeli,,
!mofos,ItsNickky,
!moist,MushyIce,
!money,AionJanis,
!monitor,AionJanis,
!monkey,AionJanis,laugh
!moredivinascar,AionJanis,
!morefeetsyay,AionJanis,feet
!morehfeetnickky,ItsNickky,
!morningwoodjanis,AionJanis,
!mouthsoundmushy,,
!movie,,
!mygirlsteve,,
!need,,
!needfeet,,feet
!needhelp,,
!neverhour,,
!nicefeet,AionJanis,feet
!nickky,AionJanis,
!nickkystinks,,
!nixxu,AionJanis,thighs
!nofeet,,feet
!nofuckingway,,exclamation
!nomushy,MushyIce,
!nono,AionJanis,
!nonono,AionJanis,
!nope,,
!nosharemushy,MushyIce,
!notabitch,ItsNickky,
!notalknickky,ItsNickky,
!notbadnickky,ItsNickky,
!notballsengeli,,
!notfuckinstryker,,
!notillegal,AionJanis,
!noway,,
!noway2,,
!nowweopenkitty,,
!nyan,AionJanis,
!oblivion,MushyIce,
!officer,AionJanis,
!officer2,AionJanis,
!oh,,
!ohdamn,AionJanis,
!ohgod,AionJanis,
!ohh,,
!ohhelly,Elly,
!ohmywootaru,Wootaru,
!ohohnickky,ItsNickky,
!ohshitblue,,
!ohyareyarejanis,AionJanis,
!ohyeah,AionJanis,
!omg,,exclamation
!omgbicep,biceptimusprime,
!omgblue,,
!omgmushy,MushyIce,
!omgomgwootaru,Wootaru,
!omgoodnesskitty,,
!onemore,AionJanis,
!onichan,AionJanis,
!onikun2janis,AionJanis,
!onikunjanis,AionJanis,
!onyourface,,
!openpants,AionJanis,
!operajanis,AionJanis,
!orgyyet,ItsNickky,
!otherspee,AionJanis,
!packintin,,
!palmela,AionJanis,
!palmellacramps,AionJanis,
!pantschecks,,
!paragonpurityjanis,,
!pee,AionJanis,
!peeapplejuicejanis,,
!penis3xblue,,
!penisisgoodjanis,,
!pennar,AionJanis,
!picklefuck,,
!pig,AionJanis,laugh
!pikeandslamjanis,AionJanis,
!pinkerstinkerjanis,AionJanis,
!pinkstink2janis,,
!pissncum,Elly,
!playshaiwootaru,Wootaru,
!pokinginyou,AionJanis,
!practice,AionJanis,
!prettygood,AionJanis,
!prettyprincess,AionJanis,
!prostate,AionJanis,cum
!ptwfwtjanis,AionJanis,
!punchtesticles,AionJanis,
!pussywetbicep,biceptimusprime,
!rabbit,AionJanis,
!rainingdicks,AionJanis,pp
!ready,AionJanis,
!realboy,AionJanis,
!reportedstryker,,
!rightlafiendlaive,,
!rightthereaaajanis,AionJanis,
!roninheheendlaive,,
!roomfire,AionJanis,
!ruhroh,AionJanis,
!ruintobuttstuff,AionJanis,butt
!rustycrustydustynickky,ItsNickky,
!saltystuff,AionJanis,cum
!saydivinammmjanis,Wootaru,
!saymyname2xjanis,Wootaru,
!saymynamejanis,Wootaru,
!scractch,AionJanis,pp
!seeleap,,laugh
!senddecjimmy,,
!serialkillernicky,,
!serious,AionJanis,BDO
!seriousstream,AionJanis,
!sex,AionJanis,
!shamemushy,MushyIce,
!shoesandsocks,AionJanis,
!shootandplug,,
!sillystreamerjanis,AionJanis,
!sinners,,
!slipup,AionJanis,
!sloppyblue,,
!smellpisscome,Elly,
!smol,,
!sohard,,
!sohardblue,,
!someguyslikeit,,
!someofyounotknowendlaive,,
!someoneclipjimmy,,
!sometimesnickky,ItsNickky,
!sonofa,,
!sorrymushy,MushyIce,
!soundclipjanis,Wootaru,
!soundswrong,MushyIce,
!spanked,,
!spankharder,AionJanis,
!spankingguy,AionJanis,
!spit,,
!splooge,AionJanis,pp
!squeezebootymushy,,
!stealthmodezeth,,
!stepbro,AionJanis,
!steponme,MushyIce,
!stickinthere,AionJanis,
!stopfucking,AionJanis,
!stopgoshjimmy,,
!stopping,,
!stroke,,
!stuffupyourbutt,AionJanis,
!suckatoe,MushyIce,
!sucking,AionJanis,
!suckingaction,AionJanis,
!suckingass,AionJanis,
!suckingdickelly,Rlly,
!suckingtoes,AionJanis,
!suckthemselves,,
!surprisebutsexjanis,AionJanis,
!sweetheartjanis,AionJanis,
!swipper,AionJanis,
!tainedbslickeratitha,,
!tap3stryker,,
!tappp,AionJanis,
!tasteofdickelly,Elly,
!teachbadthings,MushyIce,
!thankyou,AionJanis,
!thatsfinejanis,AionJanis,
!thatsgoingtobeagoodone,AionJanis,
!thatsnotbadjimmy,,
!thatswhatshesaidjanis,AionJanis,
!thatswhatweneedjanis,AionJanis,
!thatterrifyingkitty,KittyKayTTV,
!thereisacatendlaive,,
!thereitisendlaive,,
!thereshole,AionJanis,
!therewillbefeet,AionJanis,
!theyahhjanis,AionJanis,
!thickthigssteve,,
!thighs3x,AionJanis,
!thighsyes,AionJanis,
!thinkshestainedbsatitha,,
!thisisfine,AionJanis,
!thoseguys,,
!throbbingpenis,,
!tinyendlaive,,
!toesforme,AionJanis,
!toesies,,
!toesinthroat,AionJanis,
!toestoday,AionJanis,
!toilet,AionJanis,
!tsktsk,,
!twink,ItsNickky,
!twixareforkdsjanis,,
!twoindmjanis,AionJanis,
!ughaamushy,MushyIce,
!ughbicep,biceptimusprime,
!ughcocknickky,ItsNickky,
!ughmushy,MushyIce,
!umbicep,biceptimusprime,
!umendlaive,,
!umfertilejanis,AionJanis,
!uptheass,AionJanis,
!uptheass2,AionJanis,
!upthebutt,AionJanis,
!vaporeon,AionJanis,
!venerialjanis,AionJanis,
!voicecumsengeli,,
!voicesinass,AionJanis,
!wakeupfeetnickky,ItsNickky,
!wanafightmushy,MushyIce,
!wanttoplayiwthleydeemushy,MushyIce,
!wantyoutoknow,,
!washhands,AionJanis,
!wayisayitmushy,MushyIce,
!wearedonekitty,KittyKayTTV,
!welcome,AionJanis,greeting
!wellguysjimmy,,
!what,,exclamation
!whateverblue,,
!whathwatmushy,,
!whatisthisjimmy,,
!whatjimmy,,
!whatstepbro,,
!whatwolfy,,
!whenhour,,
!wherehole,AionJanis,question
!whipped,AionJanis,
!whypointoutmushy,,
!whypoking,,question
!whywontitletmejimmy,,
!wiehabts,,
!wife,AionJanis,relationship
!wifesbody,AionJanis,relationship
!wildendlaive,,
!willtherebefeet,AionJanis,question
!woahmushy,,
!workingoutkinksjanis,,
!wow,AionJanis,exclamation
!wtf,,exclamation
!wtfblue,,
!wtfinsta,Instawolf_,exclamation
!wtfnickky,ItsNickky,
!wtfstryker,,
!wtfwolfy,Instawolf_,
!yaknow,,
!yaknowmushy,,
!yeahkitty,KittyKayTTV,
!yesss,,exclamation
!yeti,AionJanis,
!yojimmy,,
!youseethatjimmy,,
